"SPECIES_CODE","KINGDOM_TAXON","SUBKINGDOM_TAXON","PHYLUM_TAXON","SUBPHYLUM_TAXON","SUPERCLASS_TAXON","CLASS_TAXON","SUBCLASS_TAXON","INFRACLASS_TAXON","DIVISION_TAXON","SUBDIVISION_TAXON","SUPERORDER_TAXON","ORDER_TAXON","SUBORDER_TAXON","INFRAORDER_TAXON","SUPERFAMILY_TAXON","FAMILY_TAXON","SUBFAMILY_TAXON","TRIBE_TAXON","SUBTRIBE_TAXON","GENUS_TAXON","SUBGENUS_TAXON","SECTION_TAXON","SUBSECTION_TAXON","SPECIES_TAXON","SUBSPECIES_TAXON","REPORT_NAME_SCIENTIFIC"
20181,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Platytroctidae","","","","Maulisia","","","","argipalla","","Maulisia argipalla"
20202,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Perciformes","Trachinoidei","","","Ammodytidae","","","","Ammodytes","","","","","","Ammodytes sp."
20203,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Perciformes","Trachinoidei","","","Ammodytidae","","","","Ammodytes","","","","hexapterus","","Ammodytes hexapterus"
20204,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Perciformes","Trachinoidei","","","Ammodytidae","","","","Ammodytes","","","","personatus","","Ammodytes personatus"
20320,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Perciformes","Zoarcoidei","","","Anarhichadidae","","","","Anarrhichthys","","","","ocellatus","","Anarrhichthys ocellatus"
20322,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Perciformes","Zoarcoidei","","","Anarhichadidae","","","","Anarhichas","","","","orientalis","","Anarhichas orientalis"
20420,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Beryciformes","Trachichthyoidei","","","Anoplogastridae","","","","Anoplogaster","","","","cornuta","","Anoplogaster cornuta"
20510,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Scorpaeniformes","Anoplopomatoidei","","","Anoplopomatidae","","","","Anoplopoma","","","","fimbria","","Anoplopoma fimbria"
20542,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Gasterosteiformes","Gasterosteoidei","","","Aulorhynchidae","","","","Aulorhynchus","","","","flavidus","","Aulorhynchus flavidus"
20570,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","","","","","","","","","","","Argentiformes unid."
20571,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Argentinidae","","","","","","","","","","Argentinidae unid."
20572,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Microstomatidae","","","","Nansenia","","","","candida","","Nansenia candida"
20573,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Argentiformes","","","","Argentinidae","","","","Argentina","","","","sialis","","Argentina sialis"
20575,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Atheriniformes","Atherinoidei","","","Atherinidae","","","","","","","","","","Atherinidae unid."
20576,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Atheriniformes","","","","Atherinopsidae","Atherinopsinae","","","Atherinops","","","","affinis","","Atherinops affinis"
20577,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Atheriniformes","","","","Atherinopsidae","Atherinopsinae","","","Atherinopsis","","","","californiensis","","Atherinopsis californiensis"
20610,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Clupeomorpha","Clupeiformes","Clupeoidei","","","Engraulidae","Engraulinae","","","Engraulis","","","","mordax","","Engraulis mordax"
20614,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","","","","","","","Bathylagidae unid."
20615,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","Bathylagus","","","","pacificus","","Bathylagus pacificus"
20619,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","Bathylagus","","","","","","Bathylagus sp."
20620,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","Bathylagus","","","","milleri","","Bathylagus milleri"
20622,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","Leuroglossus","","","","schmidti","","Leuroglossus schmidti"
20624,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","Bathylagus","","","","ochotensis","","Bathylagus ochotensis"
20660,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","Leuroglossus","","","","","","Leuroglossus sp."
20662,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Protacanthopterygii","Osmeriformes","Argentinoidei","","Argentinoidea","Bathylagidae","","","","Leuroglossus","","","","stilbius","","Leuroglossus stilbius"
20700,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Perciformes","Zoarcoidei","","","Bathymasteridae","","","","","","","","","","Bathymasteridae unid."
20702,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","Neopterygii","Teleostei","","","Acanthopterygii","Perciformes","Zoarcoidei","","","Bathymasteridae","","","","Ronquilus","","","","jordani","","Ronquilus jordani"
1,"Animalia","","Chordata","Vertebrata","Osteichythyes","Actinopterygii","","","","","","","","","","","","","","","","","","","","Actinopterygii unid."
