"Id","Area_km2","Lon","Lat","DEPTH_EFH","E_km","N_km","shallower_than_700m","trawlable","shallow_trawlable","LOG_DEPTH_EFH","LOG_DEPTH_EFH_CEN","LOG_DEPTH_EFH_CEN_SQ","stratum"
717985,13.719616,-150.6148592,57.87015806,111,641.47601301274,6416.7488901686,TRUE,TRUE,TRUE,4.70953020131233,-0.582683608158739,0.339520187216887,31
717986,13.719616,-150.5523485,57.86845295,113,645.189773338832,6416.69160406601,TRUE,TRUE,TRUE,4.72738781871234,-0.550947737068594,0.303543408981004,31
717987,13.719616,-150.4898439,57.86671666,119,648.90357648137,6416.63427091345,TRUE,TRUE,TRUE,4.77912349311153,-0.459005085553742,0.210685668564198,31
717988,13.719616,-150.4273456,57.86494921,136,652.617418166073,6416.57689210919,TRUE,TRUE,TRUE,4.91265488573605,-0.221698228323293,0.049150104441687,130
717989,13.719616,-150.3648536,57.8631506,163,656.331306056304,6416.51946725755,TRUE,TRUE,TRUE,5.09375020080676,0.100137403238119,0.0100274995272737,130
717990,13.719616,-150.302368,57.86132083,175,660.045241883531,6416.46199573972,TRUE,TRUE,TRUE,5.16478597392351,0.226379448183106,0.0512476545596875,130
717991,13.719616,-150.239889,57.8594599,191,663.759221446458,6416.40447668626,TRUE,TRUE,TRUE,5.25227342804663,0.381858788112021,0.145816134058381,130
717992,13.719616,-150.1774167,57.85756783,211,667.473246379713,6416.34691167035,TRUE,TRUE,TRUE,5.35185813347607,0.558836897972157,0.312298678535143,130
717993,13.719616,-150.1149511,57.85564461,226,671.187324381815,6416.28929917141,TRUE,TRUE,TRUE,5.42053499927229,0.680886783517537,0.463606811968857,230
717994,13.719616,-150.0524924,57.85369026,258,674.901451145599,6416.23164050326,TRUE,TRUE,TRUE,5.55295958492162,0.916226665943926,0.839471303386723,230
717995,13.719616,-149.9900407,57.85170477,279,678.615628433554,6416.17393387512,TRUE,TRUE,TRUE,5.63121178182137,1.05529346179375,1.11364429050464,230
717996,13.719616,-149.9275961,57.84968815,282,682.329857909327,6416.11617971304,TRUE,TRUE,TRUE,5.64190707093811,1.07430071842144,1.15412203360082,230
717997,13.719616,-149.8651587,57.84764041,283,686.044141230606,6416.05837843434,TRUE,TRUE,TRUE,5.64544689764324,1.08059156234977,1.16767812462151,330
717998,13.719616,-149.8027287,57.84556156,286,689.758474116751,6416.00053016709,TRUE,TRUE,TRUE,5.65599181081985,1.09933157663799,1.20852991539338,330
717999,13.719616,-149.740306,57.84345159,300,693.472870185231,6415.94263364181,TRUE,TRUE,TRUE,5.7037824746562,1.18426330705026,1.40247958042563,330
718000,13.719616,-149.6778909,57.84131051,294,697.187319216997,6415.88468868324,TRUE,FALSE,FALSE,5.68357976733868,1.14835983231793,1.31873030448128,230
718001,13.719616,-149.6154834,57.83913833,288,700.901828784143,6415.82669595456,TRUE,TRUE,TRUE,5.66296048013595,1.11171602782941,1.23591252653281,330
718002,13.719616,-149.5530837,57.83693505,403,704.616394643962,6415.76865441467,TRUE,TRUE,TRUE,5.99893656194668,1.70879980350228,2.91999676844943,330
718003,13.719616,-149.4906919,57.83470069,585,708.331018368767,6415.71056552467,TRUE,TRUE,TRUE,6.37161184723186,2.37110399265401,5.62213414397978,330
718004,13.719616,-149.428308,57.83243523,766,712.045707689228,6415.65242660076,FALSE,FALSE,FALSE,6.64118216974059,2.85017400592816,8.12349186406859,430
718005,13.719616,-149.3659322,57.8301387,915,715.760458176553,6415.59423989635,FALSE,FALSE,FALSE,6.81892406527552,3.166050069216,10.0238730407827,530
718228,13.719616,-135.8475575,56.56036014,645,1547.85303975549,6400.92356101979,TRUE,TRUE,TRUE,6.46925031679577,2.54462332695884,6.47510787610306,550
718229,13.719616,-135.7894626,56.55138298,380,1551.61073354651,6400.84717986106,TRUE,TRUE,TRUE,5.94017125272043,1.60436435523379,2.57398498434475,351
718230,13.719616,-135.7313962,56.54237777,261,1555.3687557272,6400.77067060882,TRUE,TRUE,TRUE,5.56452040732269,0.936772115048266,0.877541995532002,250
718231,13.719616,-135.6733585,56.53334454,227,1559.12709922832,6400.69403176687,TRUE,TRUE,TRUE,5.4249500174814,0.688732984139189,0.474353123441273,150
718232,13.719616,-135.6153495,56.52428329,199,1562.88576988593,6400.61726167536,TRUE,TRUE,TRUE,5.29330482472449,0.454778208796706,0.20682321919634,150
718233,13.719616,-135.5573693,56.51519406,177,1566.64476635242,6400.54036146606,TRUE,TRUE,TRUE,5.17614973257383,0.246574683165896,0.0607990743783619,150
718234,13.719616,-135.499418,56.50607686,155,1570.40408811995,6400.4633289774,TRUE,FALSE,FALSE,5.04342511691925,0.0107015989491146,0.000114524220067691,150
718235,13.719616,-135.4414955,56.49693171,147,1574.16374645709,6400.38616630853,TRUE,FALSE,FALSE,4.99043258677874,-0.0834746882681955,0.00696802358147242,150
718236,13.719616,-135.383602,56.48775863,146,1577.92373451044,6400.30887079022,TRUE,TRUE,TRUE,4.98360662170834,-0.0956055309605669,0.00914041755025192,150
718237,13.719616,-135.3257376,56.47855764,136,1581.6840514486,6400.23144131757,TRUE,TRUE,TRUE,4.91265488573605,-0.221698228323293,0.049150104441687,150
718238,13.719616,-135.2679023,56.46932877,135,1585.44470217482,6400.15387946914,TRUE,TRUE,TRUE,4.90527477843843,-0.234813871277358,0.0551375541442599,150
718239,13.719616,-135.2100961,56.46007202,146,1589.20569245295,6400.07618355502,TRUE,TRUE,TRUE,4.98360662170834,-0.0956055309605669,0.00914041755025192,150
718240,13.719616,-135.1523192,56.45078742,141,1592.96701508365,6399.99835192151,TRUE,TRUE,TRUE,4.94875989037817,-0.157533802164692,0.0248168988244644,150
